구분,품명,온도,재질,특징,제품사진,도면사진,순서,사용여부
열수축접착튜브,LSA,80 ℃,PO/PA,"절연, 난연,방수",,,1,Y
열수축접착튜브,SSE,80 ℃,PO/EVA,"절연, 난연,방수",,,2,Y
열수축접착튜브,SSA,135 ℃,PO/PA,"절연, 난연,방수",,,3,Y
열수축접착튜브,HSA,150 ℃,PO/EVA,"절연, 난연,방수",,,4,Y
열수축접착튜브,CAP,105 ℃,PO/EVA,"절연, 난연,방수",,,5,Y
열수축접착튜브,BPA,105 ℃,PO,브레이크 파이프 보호용,,,6,Y
열수축튜브,HSG,125 ℃,PO,"절연, 난연",,,1,Y
열수축튜브, FP,150 ℃,PVDF,"내유, 난연, 불소수지 ",,,2,Y
열수축튜브,HSG(BB),125 ℃,PO,버스바용 수축튜브,,,3,Y
열수축튜브,HS-GAS,150 ℃,PO,가스 스프링용,,,4,Y
직물튜브,BES2215,135 ℃ (하네스) / 150 ℃ (호스),PET,편조튜브 기본형,,,1,Y
직물튜브,BES(ATM),150 ℃ (200 ℃),PET,ATM용 고온/내유,,,2,Y
직물튜브,RL1,150 ℃,PET,롤링튜브 기본형,,,3,Y
직물튜브,RL2,150 ℃,PET,RL1 대비 마모성 증가,,,4,Y
직물튜브,RL3,150 ℃,PET,RL2 대비 마모성 증가,,,5,Y
직물튜브,RD,150 ℃,PET,이중구조 롤링타입,,,6,Y
직물튜브,BS10,150 ℃,PET,직물형 수축튜브,,,7,Y
내열튜브,HOE,120 ℃,PO,"유연성, 내열성",,,1,Y
내열튜브,HOX,150 ℃,PO,"유연성, 내열성",,,2,Y
내유튜브,SPR,150 ℃,PA,"유연성, 내유",,,3,Y
경질튜브,SPT,110 ℃,PP,하네스 보호 및 직진성,,,1,Y
단열재튜브,HIT122,180 ℃,AL/PET,단열효과,,,1,Y
버스바튜브,BUSBAR,125 ℃,TPV,F-버스바 절연 보호,,,1,Y
보조접착제,PFH,105 ℃,PA,접착튜브 보조용,,,1,Y
보조접착제,TFH,105 ℃,PA,접착튜브 보조용,,,2,Y
보조접착제,PFH-C,105 ℃,PA,접착튜브 보조용,,,3,Y
보조접착제,CFH,105 ℃,PA,접착튜브 보조용,,,4,Y
내화튜브,HP1,125 ℃,PA,"내열, 내화성",,,1,Y
기타,EMI,150 ℃,PA,차폐 효과,,,1,Y
기타,솔더슬리브,125 ℃,PO/PA,절연 방습,,,2,Y
